Series Name,"Country Name","2015_l"
"Life expectancy at birth, total (years)","St. Martin (French part)","79.309"
"Life expectancy at birth, total (years)","St. Vincent and the Grenadines","74.407"
"Life expectancy at birth, total (years)","Sudan","64.659"
"Life expectancy at birth, total (years)","Suriname","70.8"
"Life expectancy at birth, total (years)","Sweden","82.2048780487805"
"Life expectancy at birth, total (years)","Switzerland","82.8975609756098"
"Life expectancy at birth, total (years)","Syrian Arab Republic","65.124"
"Life expectancy at birth, total (years)","Tajikistan","69.306"
"Life expectancy at birth, total (years)","Tanzania","64.651"
"Life expectancy at birth, total (years)","Thailand","77.717"
"Life expectancy at birth, total (years)","Timor-Leste","67.137"
"Life expectancy at birth, total (years)","Togo","59.396"
"Life expectancy at birth, total (years)","Tonga","70.607"
"Life expectancy at birth, total (years)","Trinidad and Tobago","74.503"
"Life expectancy at birth, total (years)","Tunisia","75.692"
"Life expectancy at birth, total (years)","Turkiye","76.646"
"Life expectancy at birth, total (years)","Turkmenistan","68.782"
"Life expectancy at birth, total (years)","Turks and Caicos Islands","76.912"
"Life expectancy at birth, total (years)","Tuvalu","64.06"
"Life expectancy at birth, total (years)","Uganda","61.086"
"Life expectancy at birth, total (years)","Ukraine","71.189512195122"
"Life expectancy at birth, total (years)","United Arab Emirates","79.223"
"Life expectancy at birth, total (years)","United Kingdom","80.9560975609756"
"Life expectancy at birth, total (years)","United States","78.690243902439"
"Life expectancy at birth, total (years)","Uruguay","77.483"
"Life expectancy at birth, total (years)","Uzbekistan","70.475"
"Life expectancy at birth, total (years)","Vanuatu","69.513"
"Life expectancy at birth, total (years)","Venezuela, RB","73.006"
"Life expectancy at birth, total (years)","Vietnam","73.876"
"Life expectancy at birth, total (years)","Virgin Islands (U.S.)","79.0170731707317"
"Life expectancy at birth, total (years)","West Bank and Gaza","74.406"
"Life expectancy at birth, total (years)","Yemen, Rep.","65.873"
"Life expectancy at birth, total (years)","Zambia","61.208"
"Life expectancy at birth, total (years)","Zimbabwe","59.591"
"Life expectancy at birth, total (years)","Africa Eastern and Southern","61.8564524336049"
"Life expectancy at birth, total (years)","Africa Western and Central","56.1958723463673"
